0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
446.9599915,710.7211914,446.9599915,475.890686,446.9599915,353.9911194,446.9599915,284.7263184,446.9599915,234.1995392,446.9599915,174.8983459,446.9599915,111.0188065,446.9599915,55.7783432,446.9599915,20.37374496,446.9599915,8.653903961,446.9599915,3.872330427,446.9599915,0.2406304628,
448.0299988,733.7662354,448.0299988,492.2144165,448.0299988,368.4638672,448.0299988,295.3746948,448.0299988,242.9968414,448.0299988,182.9100647,448.0299988,113.9260712,448.0299988,58.8346405,448.0299988,21.03647232,448.0299988,9.416744232,448.0299988,3.911062717,448.0299988,0.2409735322,
448.9299927,756.7546387,448.9299927,501.9718933,448.9299927,380.3174744,448.9299927,302.2755737,448.9299927,245.8166351,448.9299927,185.7842255,448.9299927,118.2725754,448.9299927,61.65263367,448.9299927,21.74498367,448.9299927,9.274513245,448.9299927,3.902853251,448.9299927,0.2920823097,
450,776.4140625,450,520.2316895,450,391.0499573,450,310.8712769,450,255.3174438,450,192.0561829,450,123.0625076,450,63.07354736,450,22.29721832,450,10.28175926,450,4.08684063,450,0.220105648,
451.0599976,792.7456055,451.0599976,537.3959961,451.0599976,398.1008301,451.0599976,323.1703796,451.0599976,266.7198486,451.0599976,197.9880219,451.0599976,124.5383072,451.0599976,65.07132721,451.0599976,22.72062302,451.0599976,10.82491302,451.0599976,4.681296825,451.0599976,0.3608298898,
451.9599915,807.8821411,451.9599915,544.5830078,451.9599915,411.5551758,451.9599915,335.0952454,451.9599915,271.3322754,451.9599915,200.697525,451.9599915,127.6297607,451.9599915,66.19966888,451.9599915,23.45960999,451.9599915,10.15523243,451.9599915,4.377283573,451.9599915,0.3044313788,
453.0299988,827.2963257,453.0299988,561.6577148,453.0299988,421.6480408,453.0299988,337.7302246,453.0299988,278.5580139,453.0299988,208.3573914,453.0299988,131.3186188,453.0299988,67.80430603,453.0299988,24.34738922,453.0299988,10.69047642,453.0299988,4.66399765,453.0299988,0.3778989017,
453.9299927,855.6793823,453.9299927,576.225647,453.9299927,430.7546387,453.9299927,350.2050476,453.9299927,283.3022461,453.9299927,209.8538055,453.9299927,133.550415,453.9299927,70.13222504,453.9299927,24.76767731,453.9299927,11.28820896,453.9299927,4.470263958,453.9299927,0.4194044471,
455,863.0338135,455,582.27771,455,438.263855,455,352.5291748,455,292.6392517,455,217.3551178,455,136.3256683,455,69.87593842,455,25.72999763,455,11.29490852,455,4.521826267,455,0.291182965,
456.0599976,874.1395264,456.0599976,594.8463135,456.0599976,444.3751221,456.0599976,361.8627625,456.0599976,296.7912903,456.0599976,221.671936,456.0599976,138.5337524,456.0599976,73.47628021,456.0599976,25.89261436,456.0599976,12.08935547,456.0599976,4.983420849,456.0599976,0.4812218845,
